Date,Site,Count
3/21/2019,E - PMP - 32nd St. Trailhead,314
3/21/2019,E - PMP - 40th St. Trailhead - East Access,234
3/21/2019,E - PMP - 40th St. Trailhead - Wash - West Access,935
3/21/2019,E - PMP - Piestewa Summit Trail,1144
3/21/2019,E - PMP - Trail 11432,
3/21/2019,E - PMP - Trail 11536,219
3/21/2019,E - PMP - Trail8B - 7000 N. 36th,
3/21/2019,N - 25th St. and Acoma-Shadow Mtn N,83
3/21/2019,N - 7th Ave - Peoria-Mtn. View Park Access,133
3/21/2019,N - Apache Wash Replacement,
3/21/2019,N - Carefree Bridge - Cave Creek Wash,21
3/21/2019,N - Deem Hills - East - 39th Ave TH,15
3/21/2019,N - Deem Hills - West - 51st Ave TH,127
3/21/2019,N - Desert Hills - North - Ocotillo Trail,99
3/21/2019,N - Desert Hills - South - Sidewinder Trail,151
3/21/2019,N - Desert Vista TH - Hawk,195
3/21/2019,N - Lookout Mountain - 306 - North Side TH,599
3/21/2019,N - NMVC,247
3/21/2019,N - North Mountain - 44-Tower Road,0
3/21/2019,N - Shaw Butte TH,235
3/21/2019,N -15th Ave - Yucca-Shaw Butte SW,91
3/21/2019,N-NM TOWER TR 44 REPL,
3/21/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/21/2019,RIO SALADO 2875 S. 7th Street SE,
3/21/2019,RIO SALADO 3201 S. 16th Street SE,
3/21/2019,RIO-16ST-SE-REPL,
3/21/2019,RIO-7TH ST SE-REPL,
3/21/2019,RIO-CENT-NEGW-REPL,
3/21/2019,South Mountain- Desert Classic Trail,246
3/21/2019,South Mountain-620 Trailhead,116
3/21/2019,South Mountain-Hau'Pal,
3/21/2019,South Mountain-Holbert Trail,118
3/21/2019,South Mountain-Judith Tunell Trail,125
3/21/2019,South Mountain-Kiwanis Trail ,
3/21/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/21/2019,South Mountain-Mormon Trail,316
3/21/2019,South Mountain-Pima Dirt Rd. ,887
3/21/2019,South Mountain-Pima West Loop,434
3/21/2019,South Mountain-Telegraph Pass Trail,245
3/22/2019,E - Camelback - Cholla Trail ,
3/22/2019,E - Camelback - Echo Canyon Trail,1432
3/22/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,494
3/22/2019,E - Dreamy Draw Park - Trail 155,151
3/22/2019,E - Papago - 5K Fitness,251
3/22/2019,E - Papago - Archery,38
3/22/2019,E - Papago - Hole In The Rock,675
3/22/2019,E - PMP - 32nd St. Trailhead,301
3/22/2019,E - PMP - 40th St. Trailhead - East Access,277
3/22/2019,E - PMP - 40th St. Trailhead - Wash - West Access,1307
3/22/2019,E - PMP - Piestewa Summit Trail,1338
3/22/2019,E - PMP - Trail 11640,
3/22/2019,E - PMP - Trail 11744,271
3/22/2019,E - PMP - Trail8B - 7000 N. 36th,
3/22/2019,N - 25th St. and Acoma-Shadow Mtn N,125
3/22/2019,N - 7th Ave - Peoria-Mtn. View Park Access,134
3/22/2019,N - Apache Wash Replacement,
3/22/2019,N - Carefree Bridge - Cave Creek Wash,112
3/22/2019,N - Deem Hills - East - 39th Ave TH,29
3/22/2019,N - Deem Hills - West - 51st Ave TH,154
3/22/2019,N - Desert Hills - North - Ocotillo Trail,116
3/22/2019,N - Desert Hills - South - Sidewinder Trail,176
3/22/2019,N - Desert Vista TH - Hawk,252
3/22/2019,N - Lookout Mountain - 306 - North Side TH,569
3/22/2019,N - NMVC,271
3/22/2019,N - North Mountain - 44-Tower Road,0
3/22/2019,N - Shaw Butte TH,318
3/22/2019,N -15th Ave - Yucca-Shaw Butte SW,47
3/22/2019,N-NM TOWER TR 44 REPL,
3/22/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/22/2019,RIO SALADO 2875 S. 7th Street SE,
3/22/2019,RIO SALADO 3201 S. 16th Street SE,
3/22/2019,RIO-16ST-SE-REPL,
3/22/2019,RIO-7TH ST SE-REPL,
3/22/2019,RIO-CENT-NEGW-REPL,
3/22/2019,South Mountain- Desert Classic Trail,271
3/22/2019,South Mountain-620 Trailhead,173
3/22/2019,South Mountain-Hau'Pal,
3/22/2019,South Mountain-Holbert Trail,131
3/22/2019,South Mountain-Judith Tunell Trail,74
3/22/2019,South Mountain-Kiwanis Trail ,
3/22/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/22/2019,South Mountain-Mormon Trail,413
3/22/2019,South Mountain-Pima Dirt Rd. ,1078
3/22/2019,South Mountain-Pima West Loop,511
3/22/2019,South Mountain-Telegraph Pass Trail,247
3/23/2019,E - Camelback - Cholla Trail ,
3/23/2019,E - Camelback - Echo Canyon Trail,1505
3/23/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,684
3/23/2019,E - Dreamy Draw Park - Trail 156,160
3/23/2019,E - Papago - 5K Fitness,329
3/23/2019,E - Papago - Archery,128
3/23/2019,E - Papago - Hole In The Rock,630
3/23/2019,E - PMP - 32nd St. Trailhead,368
3/23/2019,E - PMP - 40th St. Trailhead - East Access,427
3/23/2019,E - PMP - 40th St. Trailhead - Wash - West Access,1438
3/23/2019,E - PMP - Piestewa Summit Trail,1630
3/23/2019,E - PMP - Trail 11848,
3/23/2019,E - PMP - Trail 11952,216
3/23/2019,E - PMP - Trail8B - 7000 N. 36th,
3/23/2019,N - 25th St. and Acoma-Shadow Mtn N,88
3/23/2019,N - 7th Ave - Peoria-Mtn. View Park Access,185
3/23/2019,N - Apache Wash Replacement,
3/23/2019,N - Carefree Bridge - Cave Creek Wash,73
3/23/2019,N - Deem Hills - East - 39th Ave TH,49
3/23/2019,N - Deem Hills - West - 51st Ave TH,247
3/23/2019,N - Desert Hills - North - Ocotillo Trail,235
3/23/2019,N - Desert Hills - South - Sidewinder Trail,224
3/23/2019,N - Desert Vista TH - Hawk,273
3/23/2019,N - Lookout Mountain - 306 - North Side TH,694
3/23/2019,N - NMVC,398
3/23/2019,N - North Mountain - 44-Tower Road,0
3/23/2019,N - Shaw Butte TH,350
3/23/2019,N -15th Ave - Yucca-Shaw Butte SW,72
3/23/2019,N-NM TOWER TR 44 REPL,
3/23/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/23/2019,RIO SALADO 2875 S. 7th Street SE,
3/23/2019,RIO SALADO 3201 S. 16th Street SE,
3/23/2019,RIO-16ST-SE-REPL,
3/23/2019,RIO-7TH ST SE-REPL,
3/23/2019,RIO-CENT-NEGW-REPL,
3/23/2019,South Mountain- Desert Classic Trail,385
3/23/2019,South Mountain-620 Trailhead,328
3/23/2019,South Mountain-Hau'Pal,
3/23/2019,South Mountain-Holbert Trail,299
3/23/2019,South Mountain-Judith Tunell Trail,223
3/23/2019,South Mountain-Kiwanis Trail ,
3/23/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/23/2019,South Mountain-Mormon Trail,842
3/23/2019,South Mountain-Pima Dirt Rd. ,1629
3/23/2019,South Mountain-Pima West Loop,770
3/23/2019,South Mountain-Telegraph Pass Trail,441
3/24/2019,E - Camelback - Cholla Trail ,
3/24/2019,E - Camelback - Echo Canyon Trail,1384
3/24/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,720
3/24/2019,E - Dreamy Draw Park - Trail 157,177
3/24/2019,E - Papago - 5K Fitness,374
3/24/2019,E - Papago - Archery,116
3/24/2019,E - Papago - Hole In The Rock,0
3/24/2019,E - PMP - 32nd St. Trailhead,385
3/24/2019,E - PMP - 40th St. Trailhead - East Access,445
3/24/2019,E - PMP - 40th St. Trailhead - Wash - West Access,1194
3/24/2019,E - PMP - Piestewa Summit Trail,1657
3/24/2019,E - PMP - Trail 12056,
3/24/2019,E - PMP - Trail 12160,318
3/24/2019,E - PMP - Trail8B - 7000 N. 36th,
3/24/2019,N - 25th St. and Acoma-Shadow Mtn N,65
3/24/2019,N - 7th Ave - Peoria-Mtn. View Park Access,224
3/24/2019,N - Apache Wash Replacement,
3/24/2019,N - Carefree Bridge - Cave Creek Wash,61
3/24/2019,N - Deem Hills - East - 39th Ave TH,54
3/24/2019,N - Deem Hills - West - 51st Ave TH,231
3/24/2019,N - Desert Hills - North - Ocotillo Trail,241
3/24/2019,N - Desert Hills - South - Sidewinder Trail,199
3/24/2019,N - Desert Vista TH - Hawk,324
3/24/2019,N - Lookout Mountain - 306 - North Side TH,812
3/24/2019,N - NMVC,443
3/24/2019,N - North Mountain - 44-Tower Road,0
3/24/2019,N - Shaw Butte TH,388
3/24/2019,N -15th Ave - Yucca-Shaw Butte SW,82
3/24/2019,N-NM TOWER TR 44 REPL,
3/24/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/24/2019,RIO SALADO 2875 S. 7th Street SE,
3/24/2019,RIO SALADO 3201 S. 16th Street SE,
3/24/2019,RIO-16ST-SE-REPL,
3/24/2019,RIO-7TH ST SE-REPL,
3/24/2019,RIO-CENT-NEGW-REPL,
3/24/2019,South Mountain- Desert Classic Trail,422
3/24/2019,South Mountain-620 Trailhead,299
3/24/2019,South Mountain-Hau'Pal,
3/24/2019,South Mountain-Holbert Trail,604
3/24/2019,South Mountain-Judith Tunell Trail,326
3/24/2019,South Mountain-Kiwanis Trail ,
3/24/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/24/2019,South Mountain-Mormon Trail,702
3/24/2019,South Mountain-Pima Dirt Rd. ,1649
3/24/2019,South Mountain-Pima West Loop,705
3/24/2019,South Mountain-Telegraph Pass Trail,432
3/25/2019,E - Camelback - Cholla Trail ,
3/25/2019,E - Camelback - Echo Canyon Trail,987
3/25/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,364
3/25/2019,E - Dreamy Draw Park - Trail 158,111
3/25/2019,E - Papago - 5K Fitness,223
3/25/2019,E - Papago - Archery,33
3/25/2019,E - Papago - Hole In The Rock,654
3/25/2019,E - PMP - 32nd St. Trailhead,306
3/25/2019,E - PMP - 40th St. Trailhead - East Access,222
3/25/2019,E - PMP - 40th St. Trailhead - Wash - West Access,959
3/25/2019,E - PMP - Piestewa Summit Trail,1275
3/25/2019,E - PMP - Trail 12264,
3/25/2019,E - PMP - Trail 12368,223
3/25/2019,E - PMP - Trail8B - 7000 N. 36th,
3/25/2019,N - 25th St. and Acoma-Shadow Mtn N,49
3/25/2019,N - 7th Ave - Peoria-Mtn. View Park Access,105
3/25/2019,N - Apache Wash Replacement,
3/25/2019,N - Carefree Bridge - Cave Creek Wash,46
3/25/2019,N - Deem Hills - East - 39th Ave TH,12
3/25/2019,N - Deem Hills - West - 51st Ave TH,93
3/25/2019,N - Desert Hills - North - Ocotillo Trail,74
3/25/2019,N - Desert Hills - South - Sidewinder Trail,128
3/25/2019,N - Desert Vista TH - Hawk,140
3/25/2019,N - Lookout Mountain - 306 - North Side TH,469
3/25/2019,N - NMVC,190
3/25/2019,N - North Mountain - 44-Tower Road,0
3/25/2019,N - Shaw Butte TH,327
3/25/2019,N -15th Ave - Yucca-Shaw Butte SW,73
3/25/2019,N-NM TOWER TR 44 REPL,
3/25/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/25/2019,RIO SALADO 2875 S. 7th Street SE,
3/25/2019,RIO SALADO 3201 S. 16th Street SE,
3/25/2019,RIO-16ST-SE-REPL,
3/25/2019,RIO-7TH ST SE-REPL,
3/25/2019,RIO-CENT-NEGW-REPL,
3/25/2019,South Mountain- Desert Classic Trail,183
3/25/2019,South Mountain-620 Trailhead,135
3/25/2019,South Mountain-Hau'Pal,
3/25/2019,South Mountain-Holbert Trail,102
3/25/2019,South Mountain-Judith Tunell Trail,52
3/25/2019,South Mountain-Kiwanis Trail ,
3/25/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/25/2019,South Mountain-Mormon Trail,385
3/25/2019,South Mountain-Pima Dirt Rd. ,867
3/25/2019,South Mountain-Pima West Loop,407
3/25/2019,South Mountain-Telegraph Pass Trail,253
3/26/2019,E - Camelback - Cholla Trail ,
3/26/2019,E - Camelback - Echo Canyon Trail,941
3/26/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,295
3/26/2019,E - Dreamy Draw Park - Trail 159,71
3/26/2019,E - Papago - 5K Fitness,216
3/26/2019,E - Papago - Archery,62
3/26/2019,E - Papago - Hole In The Rock,316
3/26/2019,E - PMP - 32nd St. Trailhead,211
3/26/2019,E - PMP - 40th St. Trailhead - East Access,189
3/26/2019,E - PMP - 40th St. Trailhead - Wash - West Access,812
3/26/2019,E - PMP - Piestewa Summit Trail,1042
3/26/2019,E - PMP - Trail 12472,
3/26/2019,E - PMP - Trail 12576,160
3/26/2019,E - PMP - Trail8B - 7000 N. 36th,
3/26/2019,N - 25th St. and Acoma-Shadow Mtn N,42
3/26/2019,N - 7th Ave - Peoria-Mtn. View Park Access,116
3/26/2019,N - Apache Wash Replacement,
3/26/2019,N - Carefree Bridge - Cave Creek Wash,43
3/26/2019,N - Deem Hills - East - 39th Ave TH,8
3/26/2019,N - Deem Hills - West - 51st Ave TH,116
3/26/2019,N - Desert Hills - North - Ocotillo Trail,0
3/26/2019,N - Desert Hills - South - Sidewinder Trail,124
3/26/2019,N - Desert Vista TH - Hawk,0
3/26/2019,N - Lookout Mountain - 306 - North Side TH,468
3/26/2019,N - NMVC,0
3/26/2019,N - North Mountain - 44-Tower Road,0
3/26/2019,N - Shaw Butte TH,359
3/26/2019,N -15th Ave - Yucca-Shaw Butte SW,55
3/26/2019,N-NM TOWER TR 44 REPL,
3/26/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/26/2019,RIO SALADO 2875 S. 7th Street SE,
3/26/2019,RIO SALADO 3201 S. 16th Street SE,
3/26/2019,RIO-16ST-SE-REPL,
3/26/2019,RIO-7TH ST SE-REPL,
3/26/2019,RIO-CENT-NEGW-REPL,
3/26/2019,South Mountain- Desert Classic Trail,160
3/26/2019,South Mountain-620 Trailhead,122
3/26/2019,South Mountain-Hau'Pal,
3/26/2019,South Mountain-Holbert Trail,93
3/26/2019,South Mountain-Judith Tunell Trail,37
3/26/2019,South Mountain-Kiwanis Trail ,
3/26/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/26/2019,South Mountain-Mormon Trail,295
3/26/2019,South Mountain-Pima Dirt Rd. ,746
3/26/2019,South Mountain-Pima West Loop,353
3/26/2019,South Mountain-Telegraph Pass Trail,198
3/27/2019,E - Camelback - Cholla Trail ,
3/27/2019,E - Camelback - Echo Canyon Trail,1022
3/27/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,232
3/27/2019,E - Dreamy Draw Park - Trail 160,83
3/27/2019,E - Papago - 5K Fitness,236
3/27/2019,E - Papago - Archery,76
3/27/2019,E - Papago - Hole In The Rock,34
3/27/2019,E - PMP - 32nd St. Trailhead,288
3/27/2019,E - PMP - 40th St. Trailhead - East Access,202
3/27/2019,E - PMP - 40th St. Trailhead - Wash - West Access,709
3/27/2019,E - PMP - Piestewa Summit Trail,1086
3/27/2019,E - PMP - Trail 12680,
3/27/2019,E - PMP - Trail 12784,128
3/27/2019,E - PMP - Trail8B - 7000 N. 36th,
3/27/2019,N - 25th St. and Acoma-Shadow Mtn N,71
3/27/2019,N - 7th Ave - Peoria-Mtn. View Park Access,105
3/27/2019,N - Apache Wash Replacement,
3/27/2019,N - Carefree Bridge - Cave Creek Wash,33
3/27/2019,N - Deem Hills - East - 39th Ave TH,28
3/27/2019,N - Deem Hills - West - 51st Ave TH,110
3/27/2019,N - Desert Hills - North - Ocotillo Trail,67
3/27/2019,N - Desert Hills - South - Sidewinder Trail,135
3/27/2019,N - Desert Vista TH - Hawk,136
3/27/2019,N - Lookout Mountain - 306 - North Side TH,429
3/27/2019,N - NMVC,172
3/27/2019,N - North Mountain - 44-Tower Road,0
3/27/2019,N - Shaw Butte TH,327
3/27/2019,N -15th Ave - Yucca-Shaw Butte SW,81
3/27/2019,N-NM TOWER TR 44 REPL,
3/27/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/27/2019,RIO SALADO 2875 S. 7th Street SE,
3/27/2019,RIO SALADO 3201 S. 16th Street SE,
3/27/2019,RIO-16ST-SE-REPL,
3/27/2019,RIO-7TH ST SE-REPL,
3/27/2019,RIO-CENT-NEGW-REPL,
3/27/2019,South Mountain- Desert Classic Trail,165
3/27/2019,South Mountain-620 Trailhead,78
3/27/2019,South Mountain-Hau'Pal,
3/27/2019,South Mountain-Holbert Trail,93
3/27/2019,South Mountain-Judith Tunell Trail,101
3/27/2019,South Mountain-Kiwanis Trail ,
3/27/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/27/2019,South Mountain-Mormon Trail,362
3/27/2019,South Mountain-Pima Dirt Rd. ,660
3/27/2019,South Mountain-Pima West Loop,283
3/27/2019,South Mountain-Telegraph Pass Trail,205
3/28/2019,E - Camelback - Cholla Trail ,
3/28/2019,E - Camelback - Echo Canyon Trail,1139
3/28/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,346
3/28/2019,E - Dreamy Draw Park - Trail 161,100
3/28/2019,E - Papago - 5K Fitness,221
3/28/2019,E - Papago - Archery,29
3/28/2019,E - Papago - Hole In The Rock,597
3/28/2019,E - PMP - 32nd St. Trailhead,310
3/28/2019,E - PMP - 40th St. Trailhead - East Access,197
3/28/2019,E - PMP - 40th St. Trailhead - Wash - West Access,774
3/28/2019,E - PMP - Piestewa Summit Trail,1182
3/28/2019,E - PMP - Trail 12888,
3/28/2019,E - PMP - Trail 12992,114
3/28/2019,E - PMP - Trail8B - 7000 N. 36th,
3/28/2019,N - 25th St. and Acoma-Shadow Mtn N,25
3/28/2019,N - 7th Ave - Peoria-Mtn. View Park Access,114
3/28/2019,N - Apache Wash Replacement,
3/28/2019,N - Carefree Bridge - Cave Creek Wash,48
3/28/2019,N - Deem Hills - East - 39th Ave TH,15
3/28/2019,N - Deem Hills - West - 51st Ave TH,98
3/28/2019,N - Desert Hills - North - Ocotillo Trail,65
3/28/2019,N - Desert Hills - South - Sidewinder Trail,110
3/28/2019,N - Desert Vista TH - Hawk,145
3/28/2019,N - Lookout Mountain - 306 - North Side TH,436
3/28/2019,N - NMVC,210
3/28/2019,N - North Mountain - 44-Tower Road,0
3/28/2019,N - Shaw Butte TH,325
3/28/2019,N -15th Ave - Yucca-Shaw Butte SW,77
3/28/2019,N-NM TOWER TR 44 REPL,
3/28/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/28/2019,RIO SALADO 2875 S. 7th Street SE,
3/28/2019,RIO SALADO 3201 S. 16th Street SE,
3/28/2019,RIO-16ST-SE-REPL,
3/28/2019,RIO-7TH ST SE-REPL,
3/28/2019,RIO-CENT-NEGW-REPL,
3/28/2019,South Mountain- Desert Classic Trail,178
3/28/2019,South Mountain-620 Trailhead,133
3/28/2019,South Mountain-Hau'Pal,
3/28/2019,South Mountain-Holbert Trail,90
3/28/2019,South Mountain-Judith Tunell Trail,36
3/28/2019,South Mountain-Kiwanis Trail ,
3/28/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/28/2019,South Mountain-Mormon Trail,360
3/28/2019,South Mountain-Pima Dirt Rd. ,819
3/28/2019,South Mountain-Pima West Loop,359
3/28/2019,South Mountain-Telegraph Pass Trail,257
3/29/2019,E - Camelback - Cholla Trail ,
3/29/2019,E - Camelback - Echo Canyon Trail,1122
3/29/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,383
3/29/2019,E - Dreamy Draw Park - Trail 162,89
3/29/2019,E - Papago - 5K Fitness,200
3/29/2019,E - Papago - Archery,48
3/29/2019,E - Papago - Hole In The Rock,634
3/29/2019,E - PMP - 32nd St. Trailhead,322
3/29/2019,E - PMP - 40th St. Trailhead - East Access,215
3/29/2019,E - PMP - 40th St. Trailhead - Wash - West Access,954
3/29/2019,E - PMP - Piestewa Summit Trail,1167
3/29/2019,E - PMP - Trail 13096,
3/29/2019,E - PMP - Trail 13200,194
3/29/2019,E - PMP - Trail8B - 7000 N. 36th,
3/29/2019,N - 25th St. and Acoma-Shadow Mtn N,43
3/29/2019,N - 7th Ave - Peoria-Mtn. View Park Access,108
3/29/2019,N - Apache Wash Replacement,
3/29/2019,N - Carefree Bridge - Cave Creek Wash,41
3/29/2019,N - Deem Hills - East - 39th Ave TH,17
3/29/2019,N - Deem Hills - West - 51st Ave TH,108
3/29/2019,N - Desert Hills - North - Ocotillo Trail,74
3/29/2019,N - Desert Hills - South - Sidewinder Trail,116
3/29/2019,N - Desert Vista TH - Hawk,145
3/29/2019,N - Lookout Mountain - 306 - North Side TH,438
3/29/2019,N - NMVC,210
3/29/2019,N - North Mountain - 44-Tower Road,0
3/29/2019,N - Shaw Butte TH,302
3/29/2019,N -15th Ave - Yucca-Shaw Butte SW,65
3/29/2019,N-NM TOWER TR 44 REPL,
3/29/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/29/2019,RIO SALADO 2875 S. 7th Street SE,
3/29/2019,RIO SALADO 3201 S. 16th Street SE,
3/29/2019,RIO-16ST-SE-REPL,
3/29/2019,RIO-7TH ST SE-REPL,
3/29/2019,RIO-CENT-NEGW-REPL,
3/29/2019,South Mountain- Desert Classic Trail,204
3/29/2019,South Mountain-620 Trailhead,158
3/29/2019,South Mountain-Hau'Pal,
3/29/2019,South Mountain-Holbert Trail,108
3/29/2019,South Mountain-Judith Tunell Trail,39
3/29/2019,South Mountain-Kiwanis Trail ,
3/29/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/29/2019,South Mountain-Mormon Trail,323
3/29/2019,South Mountain-Pima Dirt Rd. ,864
3/29/2019,South Mountain-Pima West Loop,367
3/29/2019,South Mountain-Telegraph Pass Trail,251
3/30/2019,E - Camelback - Cholla Trail ,
3/30/2019,E - Camelback - Echo Canyon Trail,1198
3/30/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,523
3/30/2019,E - Dreamy Draw Park - Trail 163,154
3/30/2019,E - Papago - 5K Fitness,272
3/30/2019,E - Papago - Archery,82
3/30/2019,E - Papago - Hole In The Rock,774
3/30/2019,E - PMP - 32nd St. Trailhead,431
3/30/2019,E - PMP - 40th St. Trailhead - East Access,391
3/30/2019,E - PMP - 40th St. Trailhead - Wash - West Access,1163
3/30/2019,E - PMP - Piestewa Summit Trail,1643
3/30/2019,E - PMP - Trail 13304,
3/30/2019,E - PMP - Trail 13408,318
3/30/2019,E - PMP - Trail8B - 7000 N. 36th,
3/30/2019,N - 25th St. and Acoma-Shadow Mtn N,61
3/30/2019,N - 7th Ave - Peoria-Mtn. View Park Access,142
3/30/2019,N - Apache Wash Replacement,
3/30/2019,N - Carefree Bridge - Cave Creek Wash,55
3/30/2019,N - Deem Hills - East - 39th Ave TH,38
3/30/2019,N - Deem Hills - West - 51st Ave TH,168
3/30/2019,N - Desert Hills - North - Ocotillo Trail,95
3/30/2019,N - Desert Hills - South - Sidewinder Trail,148
3/30/2019,N - Desert Vista TH - Hawk,285
3/30/2019,N - Lookout Mountain - 306 - North Side TH,584
3/30/2019,N - NMVC,377
3/30/2019,N - North Mountain - 44-Tower Road,0
3/30/2019,N - Shaw Butte TH,477
3/30/2019,N -15th Ave - Yucca-Shaw Butte SW,60
3/30/2019,N-NM TOWER TR 44 REPL,
3/30/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/30/2019,RIO SALADO 2875 S. 7th Street SE,
3/30/2019,RIO SALADO 3201 S. 16th Street SE,
3/30/2019,RIO-16ST-SE-REPL,
3/30/2019,RIO-7TH ST SE-REPL,
3/30/2019,RIO-CENT-NEGW-REPL,
3/30/2019,South Mountain- Desert Classic Trail,298
3/30/2019,South Mountain-620 Trailhead,324
3/30/2019,South Mountain-Hau'Pal,
3/30/2019,South Mountain-Holbert Trail,250
3/30/2019,South Mountain-Judith Tunell Trail,65
3/30/2019,South Mountain-Kiwanis Trail ,
3/30/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/30/2019,South Mountain-Mormon Trail,794
3/30/2019,South Mountain-Pima Dirt Rd. ,1484
3/30/2019,South Mountain-Pima West Loop,565
3/30/2019,South Mountain-Telegraph Pass Trail,368
3/31/2019,E - Camelback - Cholla Trail ,
3/31/2019,E - Camelback - Echo Canyon Trail,1259
3/31/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,594
3/31/2019,E - Dreamy Draw Park - Trail 164,194
3/31/2019,E - Papago - 5K Fitness,320
3/31/2019,E - Papago - Archery,80
3/31/2019,E - Papago - Hole In The Rock,867
3/31/2019,E - PMP - 32nd St. Trailhead,504
3/31/2019,E - PMP - 40th St. Trailhead - East Access,384
3/31/2019,E - PMP - 40th St. Trailhead - Wash - West Access,862
3/31/2019,E - PMP - Piestewa Summit Trail,1613
3/31/2019,E - PMP - Trail 13512,
3/31/2019,E - PMP - Trail 13616,298
3/31/2019,E - PMP - Trail8B - 7000 N. 36th,
3/31/2019,N - 25th St. and Acoma-Shadow Mtn N,98
3/31/2019,N - 7th Ave - Peoria-Mtn. View Park Access,198
3/31/2019,N - Apache Wash Replacement,
3/31/2019,N - Carefree Bridge - Cave Creek Wash,77
3/31/2019,N - Deem Hills - East - 39th Ave TH,52
3/31/2019,N - Deem Hills - West - 51st Ave TH,205
3/31/2019,N - Desert Hills - North - Ocotillo Trail,157
3/31/2019,N - Desert Hills - South - Sidewinder Trail,184
3/31/2019,N - Desert Vista TH - Hawk,281
3/31/2019,N - Lookout Mountain - 306 - North Side TH,655
3/31/2019,N - NMVC,382
3/31/2019,N - North Mountain - 44-Tower Road,0
3/31/2019,N - Shaw Butte TH,422
3/31/2019,N -15th Ave - Yucca-Shaw Butte SW,98
3/31/2019,N-NM TOWER TR 44 REPL,
3/31/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
3/31/2019,RIO SALADO 2875 S. 7th Street SE,
3/31/2019,RIO SALADO 3201 S. 16th Street SE,
3/31/2019,RIO-16ST-SE-REPL,
3/31/2019,RIO-7TH ST SE-REPL,
3/31/2019,RIO-CENT-NEGW-REPL,
3/31/2019,South Mountain- Desert Classic Trail,400
3/31/2019,South Mountain-620 Trailhead,307
3/31/2019,South Mountain-Hau'Pal,
3/31/2019,South Mountain-Holbert Trail,277
3/31/2019,South Mountain-Judith Tunell Trail,79
3/31/2019,South Mountain-Kiwanis Trail ,
3/31/2019,South Mountain-Ma-Ha-Tuak Perimeter,
3/31/2019,South Mountain-Mormon Trail,695
3/31/2019,South Mountain-Pima Dirt Rd. ,1322
3/31/2019,South Mountain-Pima West Loop,707
3/31/2019,South Mountain-Telegraph Pass Trail,419
4/1/2019,E - Camelback - Cholla Trail ,
4/1/2019,E - Camelback - Echo Canyon Trail,867
4/1/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,293
4/1/2019,E - Dreamy Draw Park - Trail 100,89
4/1/2019,E - Papago - 5K Fitness,193
4/1/2019,E - Papago - Archery,39
4/1/2019,E - Papago - Hole In The Rock,688
4/1/2019,E - PMP - 32nd St. Trailhead,270
4/1/2019,E - PMP - 40th St. Trailhead - East Access,191
4/1/2019,E - PMP - 40th St. Trailhead - Wash - West Access,498
4/1/2019,E - PMP - Piestewa Summit Trail,1000
4/1/2019,E - PMP - Trail 200,
4/1/2019,E - PMP - Trail 304,155
4/1/2019,E - PMP - Trail8B - 7000 N. 36th,
4/1/2019,N - 25th St. and Acoma-Shadow Mtn N,38
4/1/2019,N - 7th Ave - Peoria-Mtn. View Park Access,98
4/1/2019,N - Apache Wash Replacement,
4/1/2019,N - Carefree Bridge - Cave Creek Wash,18
4/1/2019,N - Deem Hills - East - 39th Ave TH,14
4/1/2019,N - Deem Hills - West - 51st Ave TH,98
4/1/2019,N - Desert Hills - North - Ocotillo Trail,102
4/1/2019,N - Desert Hills - South - Sidewinder Trail,168
4/1/2019,N - Desert Vista TH - Hawk,136
4/1/2019,N - Lookout Mountain - 306 - North Side TH,502
4/1/2019,N - NMVC,163
